Tiempo_s,Canal_1,Canal_2
7.1094,-2212,-3157
7.1172,-2294,-3089
7.1250,-2250,-3185
7.1328,-2284,-3187
7.1406,-2264,-3108
7.1484,-2255,-2960
7.1562,-2358,-3123
7.1641,-2288,-3343
7.1719,-2179,-3128
7.1797,-2067,-2850
7.1875,-2177,-3086
7.1953,-2234,-3243
7.2031,-2211,-3222
7.2109,-2086,-3253
7.2188,-1955,-3171
7.2266,-1974,-2998
7.2344,-2126,-3019
7.2422,-2028,-3142
7.2500,-1890,-3134
7.2578,-1874,-3113
7.2656,-1909,-3039
7.2734,-1930,-3085
7.2812,-2052,-3114
7.2891,-1970,-3022
7.2969,-1901,-3094
7.3047,-1981,-3245
7.3125,-1908,-2998
7.3203,-1709,-2840
7.3281,-1756,-3032
7.3359,-1763,-2959
7.3438,-1709,-2872
7.3516,-1791,-3082
7.3594,-1812,-2977
7.3672,-1717,-2935
7.3750,-1847,-3204
7.3828,-1912,-3133
7.3906,-1836,-2975
7.3984,-1811,-3011
7.4062,-1769,-3031
7.4141,-1720,-3162
7.4219,-1753,-3218
7.4297,-1801,-3072
7.4375,-1869,-3096
7.4453,-1761,-3186
7.4531,-1688,-2916
7.4609,-1777,-2815
7.4688,-1827,-3072
7.4766,-1751,-3119
7.4844,-1574,-2966
7.4922,-1625,-3066
7.5000,-2117,-3248
7.5078,-2474,-3348
7.5156,-2447,-3561
7.5234,-2563,-3571
7.5312,-2704,-3490
7.5391,-2520,-3433
7.5469,-2670,-3564
7.5547,-2785,-3527
7.5625,-2566,-3468
7.5703,-2617,-3651
7.5781,-2794,-3581
7.5859,-2609,-3301
7.5938,-2624,-3497
7.6016,-2822,-3651
7.6094,-2655,-3524
7.6172,-2559,-3570
7.6250,-2653,-3587
7.6328,-2600,-3520
7.6406,-2647,-3655
7.6484,-2837,-3499
7.6562,-2835,-3347
7.6641,-2756,-3518
7.6719,-2622,-3620
7.6797,-2631,-3535
7.6875,-2681,-3526
7.6953,-2756,-3482
7.7031,-2549,-3511
7.7109,-2345,-3491
7.7188,-2492,-3336
7.7266,-2608,-3292
7.7344,-2585,-3428
7.7422,-2596,-3386
7.7500,-2445,-3337
7.7578,-2369,-3291
7.7656,-2530,-3287
7.7734,-2475,-3193
7.7812,-2318,-3319
7.7891,-2561,-3371
7.7969,-2628,-3314
7.8047,-2543,-3384
7.8125,-2488,-3353
7.8203,-2535,-3251
7.8281,-2563,-3466
7.8359,-2664,-3490
7.8438,-2663,-3310
7.8516,-2744,-3389
7.8594,-2609,-3380
7.8672,-2432,-3235
7.8750,-2400,-3368
7.8828,-2617,-3473
7.8906,-2632,-3373
7.8984,-2507,-3138
7.9062,-2437,-3075
7.9141,-2454,-3351
7.9219,-2499,-3530
7.9297,-2654,-3452
7.9375,-2640,-3341
7.9453,-2576,-3372
7.9531,-2407,-3347
7.9609,-2390,-3258
7.9688,-2539,-3237
7.9766,-2696,-3356
7.9844,-2440,-3383
7.9922,-2406,-3208
8.0000,-2422,-3230
8.0078,-2182,-3163
8.0156,-1937,-3020
8.0234,-2032,-3156
8.0312,-1891,-3224
8.0391,-1795,-2981
8.0469,-1781,-3000
8.0547,-1980,-3143
8.0625,-2055,-3052
8.0703,-2043,-3005
8.0781,-1849,-2983
8.0859,-1924,-3034
8.0938,-2003,-3201
8.1016,-2117,-3222
8.1094,-2003,-3006
8.1172,-2074,-3001
8.1250,-2102,-3068
8.1328,-2070,-3057
8.1406,-2060,-3117
8.1484,-2201,-3174
8.1562,-2054,-3009
8.1641,-2076,-3012
8.1719,-2136,-3111
8.1797,-2157,-3066
8.1875,-2139,-3080
8.1953,-2097,-3250
8.2031,-1998,-3226
8.2109,-2212,-3191
8.2188,-2178,-3135
8.2266,-2123,-3110
8.2344,-2361,-3057
8.2422,-2425,-3148
8.2500,-2187,-3252
8.2578,-2135,-3112
8.2656,-2118,-3107
8.2734,-2329,-3155
8.2812,-2254,-3162
8.2891,-2037,-3168
8.2969,-2277,-3175
8.3047,-2306,-3133
8.3125,-1983,-3080
8.3203,-2163,-3104
8.3281,-2217,-3080
8.3359,-2096,-3100
8.3438,-2135,-3188
8.3516,-2111,-3059
