registro,lado,metodo_espectral,bandwidth_B,suavizado,mascara,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L05141322,derecha,CWT Morlet,12.0,ewm,ARTF2,bilateral,30,1,1014,37.389380530973455,101820,0.9335500036042863,2.87545655571494,3.4584994565792577,2.499207945933797
L05141322,derecha,CWT Morlet,12.0,ewm,base,bilateral,30,6,28,1.0324483775811208,160680,0.9388661871606352,2.932843057302578,3.489350127769226,2.628874155848313
L05141322,derecha,CWT Morlet,12.0,rolling,ARTF2,bilateral,30,6,1014,37.389380530973455,101700,0.94168905380465,2.9069577341313693,3.4567919743121416,2.640901942387767
L05141322,derecha,CWT Morlet,12.0,rolling,base,bilateral,30,6,28,1.0324483775811208,160680,0.9399811139147083,2.9364270358106754,3.47573624023701,2.6326948035490294
L05141322,derecha,Welch,,ewm,ARTF2,bilateral,30,2,1014,37.389380530973455,101760,0.9363596519986748,1.8876419774364104,2.4763333999885475,0.7940601999386336
L05141322,derecha,Welch,,ewm,base,bilateral,30,6,28,1.0324483775811208,160680,0.9420475259386613,1.823374898316159,2.4266260134322155,0.8870205094433918
L05141322,derecha,Welch,,rolling,ARTF2,bilateral,30,6,1014,37.389380530973455,101700,0.9451100356233302,1.7943473513096415,2.407710224338539,0.9056224347631882
L05141322,derecha,Welch,,rolling,base,bilateral,30,6,28,1.0324483775811208,160680,0.9455019804111384,1.7460166524941534,2.3873098106487904,0.8733433988306385
L05141322,izquierda,CWT Morlet,0.5,ewm,ARTF2,bilateral,30,4,877,32.33775811209439,109860,0.9224175134375797,3.724735228820762,4.24106749227416,3.442949807058311
L05141322,izquierda,CWT Morlet,0.5,ewm,base,bilateral,30,6,137,5.051622418879056,154140,0.9206779993146323,3.771224354562729,4.287087792693263,3.4964618875636218
L05141322,izquierda,CWT Morlet,0.5,rolling,ARTF2,bilateral,30,6,877,32.33775811209439,109440,0.9308855477120284,3.783539673053408,4.275325538928706,3.5960941713653116
L05141322,izquierda,CWT Morlet,0.5,rolling,base,bilateral,30,6,137,5.051622418879056,153780,0.9212141767127722,3.8237335160523926,4.304705049423048,3.5364550672779185
L05141322,izquierda,CWT Morlet,1.5,ewm,ARTF2,bilateral,30,3,877,32.33775811209439,109920,0.9298022116742491,3.060483328958867,3.5990917116646752,2.732660414737345
L05141322,izquierda,CWT Morlet,1.5,ewm,base,bilateral,30,6,137,5.051622418879056,154140,0.9286470282045606,3.098523779798729,3.6345703317246563,2.776903418848876
L05141322,izquierda,CWT Morlet,1.5,rolling,ARTF2,bilateral,30,6,877,32.33775811209439,109440,0.938839550791233,3.0922971487171154,3.6080071680191605,2.883567787656152
L05141322,izquierda,CWT Morlet,1.5,rolling,base,bilateral,30,6,137,5.051622418879056,153780,0.9303008229336961,3.1393696640773565,3.6386171949005703,2.811170648024552
L05141322,izquierda,CWT Morlet,3.0,ewm,ARTF2,bilateral,30,3,877,32.33775811209439,109920,0.9316543391433191,2.8851392498467012,3.432342523735219,2.536941681309634
L05141322,izquierda,CWT Morlet,3.0,ewm,base,bilateral,30,6,137,5.051622418879056,154140,0.9316761953194503,2.915415714145621,3.4580280386117335,2.5859726547886757
L05141322,izquierda,CWT Morlet,3.0,rolling,ARTF2,bilateral,30,6,877,32.33775811209439,109440,0.9399223926938015,2.908018924910666,3.439449651753989,2.685401247044741
L05141322,izquierda,CWT Morlet,3.0,rolling,base,bilateral,30,6,137,5.051622418879056,153780,0.9335915523505677,2.9497319076668065,3.4572311528601904,2.618953506358053
L05141322,izquierda,CWT Morlet,6.0,ewm,ARTF2,bilateral,30,3,877,32.33775811209439,109920,0.9333616290478226,2.7475427585567336,3.3008115448737123,2.3833027540014595
L05141322,izquierda,CWT Morlet,6.0,ewm,base,bilateral,30,6,137,5.051622418879056,154140,0.9342056611694832,2.7727930584087543,3.3217350406352,2.440524778245892
L05141322,izquierda,CWT Morlet,6.0,rolling,ARTF2,bilateral,30,6,877,32.33775811209439,109440,0.9404168055402349,2.76378601502013,3.3126783646766986,2.528884479799527
L05141322,izquierda,CWT Morlet,6.0,rolling,base,bilateral,30,6,137,5.051622418879056,153780,0.9361794348434392,2.7997278112699386,3.318507071465351,2.471950183584306
L05141322,izquierda,CWT Morlet,12.0,ewm,ARTF2,bilateral,30,3,877,32.33775811209439,109920,0.9345473557745335,2.6170006676751507,3.1792227568175613,2.2345243403108452
L05141322,izquierda,CWT Morlet,12.0,ewm,base,bilateral,30,6,137,5.051622418879056,154140,0.9358640912711791,2.640991833969239,3.2009698284830352,2.302529148672754
L05141322,izquierda,CWT Morlet,12.0,rolling,ARTF2,bilateral,30,6,877,32.33775811209439,109440,0.9400833759709366,2.627586707554976,3.2019981950408343,2.3777277118526823
L05141322,izquierda,CWT Morlet,12.0,rolling,base,bilateral,30,6,137,5.051622418879056,153780,0.9376583407811787,2.660574201524724,3.1993386086713693,2.332528002507997
L05141322,izquierda,Welch,,ewm,ARTF2,bilateral,30,5,877,32.33775811209439,109800,0.939789821551496,1.6216022836256048,2.221521051028752,0.5053045339373925
L05141322,izquierda,Welch,,ewm,base,bilateral,30,6,137,5.051622418879056,154140,0.9376813002558028,1.6363996670668302,2.2743061333821353,0.4901543047932802
L05141322,izquierda,Welch,,rolling,ARTF2,bilateral,30,6,877,32.33775811209439,109440,0.9484588847559856,1.5317353047145312,2.1506758859657475,0.63168863877731
L05141322,izquierda,Welch,,rolling,base,bilateral,30,6,137,5.051622418879056,153780,0.9388386328996144,1.6004143505899462,2.3075866666485285,0.5207507403074793
