registro,modo,lado,metodo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L04301923,bilateral,izquierda,spectrogram,30,24,3405900,0.9788206069160137,1.3632064333171396,1.911467878692347
L04301923,bilateral,izquierda,spectrogram,30,25,3405720,0.9783387439372146,1.3834866435291342,1.9314035249725234
L04301923,bilateral,izquierda,spectrogram,30,26,3405540,0.9778851607947933,1.402232007602482,1.949981547694233
L04301923,bilateral,izquierda,spectrogram,30,27,3405360,0.9774622365851695,1.419432023164616,1.9671478563849003
L04301923,bilateral,izquierda,spectrogram,30,28,3405180,0.9770662915633613,1.4352488658417608,1.983074692405098
L04301923,bilateral,izquierda,spectrogram,30,29,3405000,0.9766997339194368,1.449633684590668,1.9977076046864686
L04301923,bilateral,izquierda,spectrogram,30,30,3404820,0.976362613316583,1.4626489421584923,2.0110642267324823
L04301923,bilateral,derecha,Welch,30,0,3326520,0.977501636583048,1.0655969838591335,1.8970656927213816
L04301923,bilateral,derecha,Welch,30,1,3326160,0.9780677624542982,1.0464086539447262,1.8743619582437858
L04301923,bilateral,derecha,Welch,30,2,3325800,0.9785976392717342,1.028903638425784,1.8528850315383931
L04301923,bilateral,derecha,Welch,30,3,3325440,0.9790893505705339,1.013331452966298,1.83275266762004
L04301923,bilateral,derecha,Welch,30,4,3325080,0.9795409441794917,1.0000938294242903,1.8140931018003457
L04301923,bilateral,derecha,Welch,30,5,3324720,0.9799285535157913,0.9910037472058283,1.7979590804887304
L04301923,bilateral,derecha,Welch,30,6,3324360,0.980201776833948,0.989641801381567,1.7865626026677015
L04301923,bilateral,derecha,Welch,30,7,3324000,0.9803538148924218,0.9963991921078278,1.7802824695880572
L04301923,bilateral,derecha,Welch,30,8,3323640,0.9803972591423009,1.0101106385853569,1.778629695073214
L04301923,bilateral,derecha,Welch,30,9,3323280,0.9803407660690034,1.0295227651313443,1.7812463265003744
